team,attack,defense,mu
Algeria,1.2065235648352515,0.9984952499378676,1.218929715431872
Argentina,1.4185293213581252,0.6130543024098613,1.218929715431872
Australia,0.9187620045089546,1.0989633118203377,1.218929715431872
Austria,1.2253386194546132,0.8568364294459423,1.218929715431872
Belgium,1.5589666167830878,0.7960767915665142,1.218929715431872
Bosnia and Herzegovina,0.8446794831298036,1.0821021065144385,1.218929715431872
Brazil,1.6970669922878052,0.6377812371792987,1.218929715431872
Cabo Verde,0.7816910778875951,1.1530824077405144,1.218929715431872
Canada,0.8503113486318045,1.0515780027048363,1.218929715431872
Colombia,1.2278001610274667,0.7325186580816959,1.218929715431872
Croatia,1.2612547800717073,0.9706114379065228,1.218929715431872
Curaçao,0.7572146645934927,1.7373623346426763,1.218929715431872
Czechia,0.8044374895329043,1.1051211731001345,1.218929715431872
Côte d'Ivoire,0.9714945624725636,0.9445965089908317,1.218929715431872
DR Congo,0.8669716385058674,1.2845904442061482,1.218929715431872
Ecuador,1.0012204707683594,0.8934869877058832,1.218929715431872
Egypt,0.8404933916572824,0.9645798854871346,1.218929715431872
England,1.3517794027686052,0.6947133694612854,1.218929715431872
France,1.5448231275069084,0.6704846673992505,1.218929715431872
Germany,1.6062200796003614,0.9751049178216298,1.218929715431872
Ghana,0.9112628876677066,1.1375403168557363,1.218929715431872
Haiti,0.7249387658752758,1.5895227384404216,1.218929715431872
IR Iran,0.8207626195188996,0.9023739145380633,1.218929715431872
Iraq,0.5888494622576183,1.165471495433924,1.218929715431872
Japan,1.2898164468191775,1.0049432362138637,1.218929715431872
Jordan,0.7551318354609803,1.54528245195921,1.218929715431872
Korea Republic,0.9986575302528454,1.1324659520342613,1.218929715431872
Mexico,1.090056519602565,0.9610234448767587,1.218929715431872
Morocco,0.9986932089405959,0.6832044334824167,1.218929715431872
Netherlands,1.525933417528131,0.8743487169336339,1.218929715431872
New Zealand,0.6159409008459512,1.4535625280569653,1.218929715431872
Norway,1.0234984146600272,1.2445353870781577,1.218929715431872
Panama,0.6284890132662861,1.5408276035075492,1.218929715431872
Paraguay,0.8505472429648395,1.0041074281554294,1.218929715431872
Portugal,1.4379681860138027,0.6906353226698049,1.218929715431872
Qatar,0.8455120850863413,1.3541025464017653,1.218929715431872
Saudi Arabia,0.6378281147733792,1.0746340014297615,1.218929715431872
Scotland,0.8946350618626533,1.1748691171341257,1.218929715431872
Senegal,0.9798394335428348,0.8603552064158584,1.218929715431872
South Africa,0.7060270993888923,1.025472354191849,1.218929715431872
Spain,1.5865962090878667,0.7459386202696997,1.218929715431872
Sweden,1.014077729935765,1.074662282917751,1.218929715431872
Switzerland,1.2717808333228862,0.9694905327970968,1.218929715431872
Tunisia,0.8609081586719736,0.8778274730669182,1.218929715431872
Türkiye,1.2345326534907217,1.1486241223213391,1.218929715431872
United States,1.0350307693210237,0.9476456274659351,1.218929715431872
Uruguay,1.1838615385855287,0.7703859918687928,1.218929715431872
Uzbekistan,0.7007344179535766,1.2542275935146514,1.218929715431872
